route,route_type,primary_intent,competing_route,gsc_clicks_16m,gsc_impressions_16m,gsc_ctr_16m,gsc_position_16m,ga4_organic_sessions_16m,ga4_bookings_16m,internal_inbound_links,unique_evidence,decision,decision_basis,redirect_target,approval_status,notes
/areas/alfords-point-2234,area,hair salon near Alfords Point,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/bangor-2234,area,hair salon near Bangor,/blog/best-hair-salon-bangor,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/barden-ridge-2234,area,hair salon near Barden Ridge,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/caringbah-2229,area,hair salon near Caringbah,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/como-2226,area,hair salon near Como,/blog/best-hair-salon-near-como,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/cronulla-2230,area,hair salon near Cronulla,/blog/best-hair-salon-near-cronulla,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/gymea-2227,area,hair salon near Gymea,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/illawong-2234,area,hair salon near Illawong,/blog/best-hair-salon-near-illawong,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/jannali-2226,area,hair salon near Jannali,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/kareela-2232,area,hair salon near Kareela,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/kirrawee-2232,area,hair salon near Kirrawee,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/menai-2234,area,hair salon near Menai,/blog/best-hair-salon-near-menai,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/miranda-2228,area,hair salon near Miranda,/blog/best-hair-salon-near-miranda,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/oyster-bay-2225,area,hair salon near Oyster Bay,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/padstow-2211,area,hair salon near Padstow,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/sutherland-2232,area,hair salon near Sutherland,/blog/best-hair-salon-near-sutherland,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/areas/sylvania-2224,area,hair salon near Sylvania,,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Preserve current indexability until query and conversion evidence is available
/blog/best-hair-salon-bangor,local-article,best hair salon near Bangor,/areas/bangor-2234,,,,,,,,pending evidence audit,hold-pending-analytics,GSC and GA4 access unavailable; no URL visibility change permitted,,not-approved,Direct query-intent overlap requires analytics evidence
